step,l2_delta,cos_to_prev
11100,1.532658,0.99890488
11200,4.832346,0.99462926
11300,2.516735,0.99941885
11400,1.703991,0.99911892
11500,3.786742,0.99715310
11600,1.760355,0.99901146
11700,2.172282,0.99912810
11800,3.655164,0.99703652
11900,1.772778,0.99940705
12000,1.917523,0.99907899
12100,1.535698,0.99895144
12200,3.352100,0.99558306
12300,2.361061,0.99928677
12400,1.589234,0.99874997
12500,3.686090,0.99528217
12600,2.252616,0.99937856
12700,2.336794,0.99811387
12800,1.586793,0.99888116
12900,1.884384,0.99898857
13000,1.566423,0.99887383
13100,2.973019,0.99809724
13200,1.844938,0.99869812
13300,2.069024,0.99929297
13400,1.510566,0.99888551
13500,3.614152,0.99518436
13600,2.199580,0.99942625
13700,3.666680,0.99643773
13800,2.511247,0.99941128
13900,1.577806,0.99883246
14000,4.598588,0.99552298
14100,2.349448,0.99883956
14200,1.722257,0.99905372
14300,3.598044,0.99610817
14400,2.321153,0.99941993
14500,1.542619,0.99885422
14600,4.171440,0.99530286
14700,2.547504,0.99941170
14800,1.667342,0.99881679
14900,4.225246,0.99560821
15000,2.558288,0.99949551
15100,1.531496,0.99907064
15200,2.689428,0.99801040
15300,1.647585,0.99901831
15400,2.033582,0.99908412
15500,3.824395,0.99626619
15600,2.480781,0.99945807
15700,1.544767,0.99889314
15800,3.666027,0.99588424
15900,2.211240,0.99933529
16000,1.599997,0.99871004
16100,3.257006,0.99610889
16200,2.293141,0.99938542
16300,1.658874,0.99858749
16400,3.875432,0.99489331
16500,2.268867,0.99929821
16600,3.201046,0.99698657
16700,1.829597,0.99933100
16800,1.617738,0.99904382
16900,3.708724,0.99678326
17000,1.680809,0.99923801
17100,1.886804,0.99896085
17200,1.990453,0.99868512
17300,2.078408,0.99794281
17400,1.821397,0.99929595
17500,3.846897,0.99617302
17600,2.186958,0.99949223
17700,1.776749,0.99881911
17800,4.048027,0.99591780
17900,2.204987,0.99938101
18000,1.497562,0.99902129
18100,3.113165,0.99623799
18200,2.247491,0.99926335
18300,2.781475,0.99786556
18400,1.488214,0.99911559
18500,1.631525,0.99904966
18600,3.837103,0.99596393
18700,2.465555,0.99949276
18800,1.614402,0.99880981
18900,3.563787,0.99504220
19000,1.732901,0.99922109
19100,3.483575,0.99659532
19200,2.303450,0.99952424
19300,1.728480,0.99867094
19400,2.963308,0.99778712
19500,1.806790,0.99862164
19600,1.779318,0.99925476
19700,3.701726,0.99599797
19800,2.352132,0.99944258
19900,1.631927,0.99868035
20000,3.603042,0.99540967
20100,2.029310,0.99932134
20200,1.615338,0.99866307
20300,3.365645,0.99540567
20400,2.146724,0.99929136
20500,4.072042,0.99560916
20600,2.264272,0.99929935
20700,1.635321,0.99880743
20800,3.507587,0.99643230
20900,2.321414,0.99949014
21000,1.435582,0.99895477
21100,2.810016,0.99655545
21200,1.812446,0.99912083
21300,1.635042,0.99866766
21400,3.638156,0.99554968
21500,2.115896,0.99943334
21600,3.409649,0.99662018
21700,2.258353,0.99951315
21800,1.687610,0.99870700
21900,1.876077,0.99882674
22000,2.421465,0.99723077
22100,1.961672,0.99927461
22200,3.711670,0.99657643
22300,2.069630,0.99952149
22400,1.618665,0.99889326
22500,4.298178,0.99544472
22600,2.631131,0.99942112
22700,1.768892,0.99882466
22800,4.204567,0.99506325
22900,2.353444,0.99947083
23000,1.576297,0.99879491
23100,4.061752,0.99557328
23200,2.591527,0.99951357
23300,1.673986,0.99881768
23400,3.536704,0.99539411
23500,2.089723,0.99933922
23600,1.598179,0.99863946
23700,3.909111,0.99428922
23800,2.092229,0.99908280
23900,3.671826,0.99597120
24000,1.998653,0.99911839
24100,1.678151,0.99892688
24200,3.194682,0.99634725
24300,2.135373,0.99921638
24400,1.753190,0.99839675
24500,3.085265,0.99603939
24600,2.011479,0.99917531
24700,1.616512,0.99863017
24800,3.682182,0.99435771
24900,1.876358,0.99936169
25000,1.621227,0.99889314
25100,2.321283,0.99743867
25200,1.889147,0.99896330
25300,4.151482,0.99527580
25400,2.239917,0.99947202
25500,1.748959,0.99884760
25600,3.837911,0.99533749
25700,2.251076,0.99944645
25800,1.670356,0.99857891
25900,3.545911,0.99534416
26000,2.053179,0.99935460
26100,1.617516,0.99861753
26200,3.982464,0.99559951
26300,2.418117,0.99958313
26400,1.626754,0.99889332
26500,4.305737,0.99509513
26600,2.300392,0.99949229
26700,1.638180,0.99885857
26800,3.844763,0.99459779
26900,2.248113,0.99898416
27000,2.139851,0.99825674
27100,2.071504,0.99793571
27200,1.816121,0.99899769
27300,3.731566,0.99595541
27400,2.351310,0.99933755
27500,1.682913,0.99862564
27600,3.570316,0.99544370
27700,2.188137,0.99932712
27800,1.639715,0.99861372
27900,3.047832,0.99579144
28000,1.853604,0.99907941
28100,3.908912,0.99562520
28200,2.226615,0.99938059
28300,1.642091,0.99868560
28400,3.523260,0.99503529
28500,1.863201,0.99913919
28600,3.444542,0.99649221
28700,2.263857,0.99941808
28800,1.672861,0.99862492
28900,3.382768,0.99536341
29000,1.890199,0.99915028
29100,2.029954,0.99846590
29200,2.073332,0.99791420
29300,1.863181,0.99908578
29400,3.333651,0.99633151
29500,2.073398,0.99932176
29600,2.725424,0.99740237
29700,1.628962,0.99921095
29800,1.748223,0.99876696
29900,4.027956,0.99606055
30000,2.285109,0.99930841
