device: cuda
[  1000] train=0.999 val=0.070 tr_loss=0.0879 val_loss=7.0261 t=19.3s
[  2000] train=1.000 val=0.121 tr_loss=0.0648 val_loss=6.2009 t=38.7s
[  3000] train=1.000 val=0.205 tr_loss=0.0713 val_loss=4.3445 t=71.4s
[  4000] train=1.000 val=0.998 tr_loss=0.0112 val_loss=0.0873 t=90.9s
[  5000] train=1.000 val=1.000 tr_loss=0.0269 val_loss=0.0375 t=108.1s
[  6000] train=1.000 val=1.000 tr_loss=0.0182 val_loss=0.0213 t=125.3s
[  7000] train=1.000 val=1.000 tr_loss=0.0175 val_loss=0.0201 t=142.2s
[  8000] train=1.000 val=1.000 tr_loss=0.0085 val_loss=0.0099 t=160.0s
[  9000] train=1.000 val=1.000 tr_loss=0.0157 val_loss=0.0180 t=178.0s
[ 10000] train=1.000 val=1.000 tr_loss=0.0177 val_loss=0.0218 t=195.2s
[ 11000] train=1.000 val=1.000 tr_loss=0.0135 val_loss=0.0147 t=211.7s
[ 12000] train=0.997 val=0.995 tr_loss=0.1015 val_loss=0.1222 t=228.5s
[ 13000] train=1.000 val=1.000 tr_loss=0.0156 val_loss=0.0180 t=245.7s
[ 14000] train=1.000 val=1.000 tr_loss=0.0122 val_loss=0.0132 t=262.9s
[ 15000] train=1.000 val=1.000 tr_loss=0.0100 val_loss=0.0120 t=282.3s
[ 16000] train=1.000 val=1.000 tr_loss=0.0109 val_loss=0.0118 t=302.0s
[ 17000] train=1.000 val=1.000 tr_loss=0.0142 val_loss=0.0154 t=319.1s
[ 18000] train=1.000 val=1.000 tr_loss=0.0124 val_loss=0.0134 t=336.6s
[ 19000] train=1.000 val=1.000 tr_loss=0.0085 val_loss=0.0091 t=364.0s
[ 20000] train=1.000 val=1.000 tr_loss=0.0238 val_loss=0.0301 t=396.2s
[ 21000] train=1.000 val=1.000 tr_loss=0.0117 val_loss=0.0132 t=419.3s
[ 22000] train=1.000 val=1.000 tr_loss=0.0103 val_loss=0.0111 t=436.6s
[ 23000] train=1.000 val=1.000 tr_loss=0.0062 val_loss=0.0066 t=453.9s
[ 24000] train=1.000 val=1.000 tr_loss=0.0086 val_loss=0.0104 t=470.6s
[ 25000] train=1.000 val=1.000 tr_loss=0.0129 val_loss=0.0138 t=488.1s
[ 26000] train=1.000 val=1.000 tr_loss=0.0109 val_loss=0.0117 t=504.8s
[ 27000] train=1.000 val=1.000 tr_loss=0.0093 val_loss=0.0104 t=522.3s
[ 28000] train=1.000 val=1.000 tr_loss=0.0117 val_loss=0.0126 t=539.3s
[ 29000] train=1.000 val=1.000 tr_loss=0.0107 val_loss=0.0118 t=556.6s
[ 30000] train=1.000 val=1.000 tr_loss=0.0114 val_loss=0.0124 t=574.0s
[ 31000] train=0.964 val=0.955 tr_loss=0.3165 val_loss=0.3528 t=591.5s
[ 32000] train=1.000 val=1.000 tr_loss=0.0090 val_loss=0.0101 t=608.8s
[ 33000] train=1.000 val=1.000 tr_loss=0.0128 val_loss=0.0138 t=626.0s
[ 34000] train=1.000 val=1.000 tr_loss=0.0112 val_loss=0.0121 t=643.2s
[ 35000] train=0.729 val=0.706 tr_loss=1.2918 val_loss=1.3679 t=660.4s
[ 36000] train=1.000 val=1.000 tr_loss=0.0164 val_loss=0.0200 t=680.6s
[ 37000] train=1.000 val=1.000 tr_loss=0.0105 val_loss=0.0120 t=702.0s
[ 38000] train=1.000 val=1.000 tr_loss=0.0129 val_loss=0.0139 t=719.3s
[ 39000] train=1.000 val=1.000 tr_loss=0.0221 val_loss=0.0259 t=736.5s
[ 40000] train=1.000 val=1.000 tr_loss=0.0118 val_loss=0.0129 t=753.6s
[ 41000] train=1.000 val=1.000 tr_loss=0.0125 val_loss=0.0134 t=769.8s
[ 42000] train=1.000 val=1.000 tr_loss=0.0102 val_loss=0.0110 t=787.1s
[ 43000] train=1.000 val=1.000 tr_loss=0.0120 val_loss=0.0129 t=804.3s
[ 44000] train=1.000 val=1.000 tr_loss=0.0104 val_loss=0.0111 t=821.6s
[ 45000] train=1.000 val=1.000 tr_loss=0.0105 val_loss=0.0113 t=838.7s
[ 46000] train=1.000 val=1.000 tr_loss=0.0152 val_loss=0.0179 t=855.8s
[ 47000] train=1.000 val=1.000 tr_loss=0.0103 val_loss=0.0112 t=872.6s
[ 48000] train=1.000 val=1.000 tr_loss=0.0120 val_loss=0.0128 t=891.1s
[ 49000] train=1.000 val=1.000 tr_loss=0.0098 val_loss=0.0105 t=908.5s
[ 50000] train=1.000 val=1.000 tr_loss=0.0093 val_loss=0.0099 t=925.9s
done. metrics at /home/nate-agx/chronicle/experiments/grokking/runs/v1/metrics.jsonl
