step,l2_delta,cos_to_prev
11100,1.601332,0.99882472
11200,3.765201,0.99512523
11300,2.159900,0.99927914
11400,3.543385,0.99692619
11500,2.081708,0.99953175
11600,1.589523,0.99895126
11700,3.453514,0.99719787
11800,1.846712,0.99888021
11900,1.806848,0.99923265
12000,3.671860,0.99640054
12100,2.281114,0.99940860
12200,1.821577,0.99873185
12300,1.811710,0.99850464
12400,1.917442,0.99897480
12500,3.583538,0.99630767
12600,2.247196,0.99932849
12700,1.624314,0.99872935
12800,3.090522,0.99623340
12900,2.021042,0.99909389
13000,1.639789,0.99874783
13100,4.344924,0.99380076
13200,2.328866,0.99948621
13300,1.622406,0.99874687
13400,2.280169,0.99759901
13500,1.912809,0.99900413
13600,4.244084,0.99520266
13700,2.301356,0.99944139
13800,2.310328,0.99795312
13900,1.578091,0.99910343
14000,1.845111,0.99888480
14100,2.554278,0.99813408
14200,1.633729,0.99905157
14300,1.749023,0.99913007
14400,3.330175,0.99589217
14500,1.938905,0.99910295
14600,3.275305,0.99740839
14700,1.768512,0.99950004
14800,1.738045,0.99885094
14900,3.835946,0.99539852
15000,2.211084,0.99931753
15100,3.288491,0.99695623
15200,1.883165,0.99925435
15300,1.750213,0.99886960
15400,3.328676,0.99619299
15500,2.175791,0.99919248
15600,1.589208,0.99874949
15700,3.651522,0.99545610
15800,2.065116,0.99941635
15900,3.601321,0.99608159
16000,2.324096,0.99941468
16100,1.777553,0.99861026
16200,3.562540,0.99713188
16300,1.775367,0.99928093
16400,1.750352,0.99918842
16500,1.553799,0.99898422
16600,1.559839,0.99925917
16700,4.325058,0.99318111
16800,2.427175,0.99942529
16900,1.620602,0.99886507
17000,3.768208,0.99452078
17100,1.966178,0.99930012
17200,1.546970,0.99887395
17300,3.871926,0.99474084
17400,2.269559,0.99943316
17500,1.634613,0.99875766
17600,3.802320,0.99428648
17700,2.023301,0.99911058
17800,3.631991,0.99606252
17900,2.204285,0.99939525
18000,1.719381,0.99880028
18100,3.730170,0.99507010
18200,1.940140,0.99938297
18300,1.638059,0.99869156
18400,3.348130,0.99633980
18500,2.364768,0.99947166
18600,3.350559,0.99657929
18700,1.810338,0.99899274
18800,1.746680,0.99894863
18900,3.350458,0.99666971
19000,2.205719,0.99940801
19100,1.725792,0.99854809
19200,3.999192,0.99524850
19300,2.352577,0.99946380
19400,1.623577,0.99878180
19500,3.742237,0.99530905
19600,2.246410,0.99942160
19700,3.476095,0.99597049
19800,2.101970,0.99951130
19900,1.614420,0.99873495
20000,3.313597,0.99626166
20100,2.090868,0.99936783
20200,1.684291,0.99856663
20300,3.844099,0.99422354
20400,1.966442,0.99930519
20500,3.476892,0.99642885
20600,2.229295,0.99942231
20700,2.321594,0.99816489
20800,1.472499,0.99909860
20900,1.687016,0.99896014
21000,1.645727,0.99886906
21100,3.625620,0.99542844
21200,2.362116,0.99949837
21300,2.882177,0.99744594
21400,1.690909,0.99943298
21500,1.599632,0.99900377
21600,3.493237,0.99620068
21700,2.111563,0.99939156
21800,3.729201,0.99669725
21900,2.104649,0.99955559
22000,1.739083,0.99878621
22100,3.767801,0.99675536
22200,2.444160,0.99950469
22300,1.698466,0.99875814
22400,3.656337,0.99442738
22500,1.955242,0.99920726
22600,3.702010,0.99634862
22700,2.207078,0.99948394
22800,1.750353,0.99860078
22900,3.761112,0.99487126
23000,2.050363,0.99937832
23100,1.634598,0.99868822
23200,3.047470,0.99614710
23300,1.958001,0.99914110
23400,4.434043,0.99518847
23500,2.317999,0.99951309
23600,1.711761,0.99881721
23700,3.348382,0.99586213
23800,2.035835,0.99927491
23900,3.634843,0.99658179
24000,2.119527,0.99946851
24100,1.749461,0.99873382
24200,4.039039,0.99615026
24300,2.324802,0.99955773
24400,1.646607,0.99884826
24500,4.108669,0.99612707
24600,2.138952,0.99949872
24700,1.799683,0.99909073
24800,1.483742,0.99910182
24900,3.497876,0.99485755
25000,2.002293,0.99934965
25100,4.175453,0.99513376
25200,2.580252,0.99921393
25300,1.770065,0.99869037
25400,3.457655,0.99549770
25500,1.855079,0.99930632
25600,1.950658,0.99859810
25700,2.204030,0.99781424
25800,1.953941,0.99901742
25900,3.360165,0.99720025
26000,1.815090,0.99923962
26100,1.850733,0.99898899
26200,3.898542,0.99557507
26300,2.280745,0.99942446
26400,2.336081,0.99808985
26500,1.506559,0.99915934
26600,1.726801,0.99890935
26700,3.825170,0.99635464
26800,2.360743,0.99943131
26900,2.331133,0.99810946
27000,1.588051,0.99910575
27100,1.776222,0.99891633
27200,2.849151,0.99781632
27300,1.682595,0.99907434
27400,1.815819,0.99911934
27500,4.353306,0.99512893
27600,2.333864,0.99957985
27700,1.630965,0.99892104
27800,3.661747,0.99643052
27900,2.367703,0.99940312
28000,1.619907,0.99876374
28100,3.416120,0.99516499
28200,1.845433,0.99920630
28300,3.803035,0.99641454
28400,2.179718,0.99953711
28500,1.720548,0.99883509
28600,3.652890,0.99569684
28700,2.108703,0.99940860
28800,1.771834,0.99861246
28900,2.125678,0.99788934
29000,1.828171,0.99884808
29100,3.839807,0.99606431
29200,2.252669,0.99952477
29300,1.692463,0.99871421
29400,4.267158,0.99593562
29500,2.165330,0.99953216
29600,1.804748,0.99894178
29700,3.859405,0.99557173
29800,2.286516,0.99952364
29900,1.650963,0.99879527
30000,4.115127,0.99408591
