step,l2_delta,cos_to_prev
11100,3.076276,0.99793130
11200,2.211507,0.99948126
11300,1.816123,0.99873382
11400,3.464849,0.99610645
11500,2.109960,0.99892366
11600,2.964424,0.99760103
11700,2.183839,0.99922723
11800,1.782586,0.99859226
11900,1.801399,0.99912047
12000,3.853040,0.99551213
12100,2.526461,0.99943191
12200,1.957681,0.99873424
12300,2.341442,0.99779558
12400,2.325360,0.99881196
12500,3.189678,0.99698496
12600,2.252915,0.99915552
12700,4.039135,0.99682403
12800,2.434896,0.99940526
12900,1.974287,0.99872255
13000,3.122060,0.99698913
13100,2.294228,0.99921280
13200,3.452199,0.99720126
13300,2.246793,0.99939293
13400,1.631033,0.99883413
13500,3.273883,0.99622822
13600,2.193840,0.99887055
13700,3.411335,0.99699342
13800,2.461797,0.99934876
13900,1.657641,0.99880075
14000,3.594701,0.99604702
14100,2.466032,0.99916947
14200,3.340238,0.99758303
14300,2.128020,0.99955058
14400,1.777222,0.99884778
14500,3.886422,0.99613762
14600,2.348191,0.99917674
14700,3.231487,0.99808180
14800,1.881678,0.99947727
14900,1.853966,0.99890041
15000,3.453702,0.99693787
15100,2.459335,0.99927855
15200,3.726818,0.99729782
15300,2.286639,0.99951065
15400,1.781093,0.99886322
15500,1.425718,0.99918354
15600,1.981571,0.99888384
15700,4.184872,0.99643725
15800,2.778242,0.99916083
15900,1.517357,0.99900985
16000,2.271978,0.99797624
16100,1.986905,0.99895298
16200,1.558157,0.99914140
16300,4.439885,0.99652112
16400,2.814335,0.99963343
16500,1.693181,0.99913371
16600,4.659077,0.99592602
16700,2.732768,0.99961579
16800,1.888854,0.99899781
16900,3.532966,0.99751467
17000,2.314541,0.99956155
17100,2.359055,0.99836230
17200,1.793862,0.99952853
17300,1.769676,0.99890846
17400,4.251108,0.99651885
17500,2.605775,0.99948800
17600,1.758930,0.99885017
17700,3.357903,0.99667060
17800,2.422578,0.99918032
17900,1.469322,0.99904716
18000,3.269329,0.99614191
18100,2.267715,0.99910867
18200,3.812519,0.99675232
18300,2.691112,0.99906278
18400,1.710240,0.99869239
18500,3.232445,0.99653244
18600,2.210288,0.99896538
18700,2.425045,0.99883568
18800,1.631785,0.99895298
18900,2.077464,0.99902153
19000,2.396450,0.99890822
19100,1.960830,0.99841261
19200,2.115722,0.99911261
19300,4.004957,0.99736673
19400,2.391641,0.99955755
19500,1.761173,0.99900377
19600,3.354678,0.99637198
19700,2.207579,0.99911690
19800,3.334633,0.99719000
19900,2.556655,0.99914330
20000,1.516431,0.99896187
20100,3.837218,0.99631184
20200,2.584695,0.99923766
20300,3.253616,0.99787426
20400,2.065292,0.99958372
20500,1.772305,0.99893814
20600,3.705535,0.99673611
20700,2.562583,0.99935025
20800,1.610678,0.99885875
20900,3.559908,0.99664569
21000,2.546862,0.99930459
21100,3.650791,0.99727774
21200,2.470135,0.99946845
21300,1.676500,0.99889970
21400,3.697209,0.99678522
21500,2.482244,0.99943113
21600,1.425948,0.99909103
21700,3.982080,0.99660110
21800,2.707027,0.99938661
21900,1.528073,0.99900401
22000,3.684748,0.99668688
22100,2.530282,0.99941403
22200,1.298443,0.99927032
22300,2.272771,0.99787796
22400,1.935586,0.99908674
22500,3.496697,0.99791729
22600,1.749550,0.99951518
22700,2.014702,0.99897945
22800,3.906255,0.99646723
22900,2.816408,0.99911147
23000,3.020504,0.99792707
23100,2.029408,0.99954730
23200,1.594716,0.99894071
23300,2.686003,0.99882019
23400,1.683737,0.99889833
23500,2.166323,0.99899262
23600,1.595621,0.99930638
23700,2.216731,0.99793434
23800,1.472888,0.99917132
23900,1.671366,0.99878556
24000,1.885192,0.99885798
24100,4.008204,0.99677110
24200,2.595948,0.99945474
24300,1.626976,0.99893951
24400,3.692204,0.99667072
24500,2.503089,0.99928701
24600,1.496666,0.99899203
24700,4.298280,0.99645877
24800,2.508056,0.99962962
24900,1.381715,0.99919862
25000,1.948036,0.99842155
25100,2.006231,0.99883646
25200,3.271544,0.99696761
25300,2.385766,0.99921149
25400,3.811340,0.99725473
25500,2.087487,0.99955225
25600,1.890803,0.99889302
25700,3.920251,0.99632025
25800,2.738092,0.99899423
25900,3.382033,0.99764806
26000,2.448978,0.99948227
26100,1.603501,0.99896687
26200,3.915282,0.99636674
26300,2.819392,0.99916720
26400,2.310308,0.99847370
26500,1.430438,0.99926990
26600,1.978862,0.99890554
26700,3.853402,0.99702710
26800,2.592838,0.99945122
26900,1.450781,0.99907386
27000,2.714641,0.99730110
27100,2.273409,0.99871314
27200,3.774423,0.99681389
27300,2.544705,0.99933493
27400,1.496502,0.99898583
27500,3.024917,0.99660563
27600,2.253493,0.99920750
27700,2.744001,0.99816346
27800,1.702230,0.99880725
27900,2.112201,0.99895501
28000,3.853581,0.99688983
28100,2.220276,0.99953586
28200,3.056955,0.99754107
28300,2.304884,0.99940908
28400,1.821835,0.99871445
28500,3.729341,0.99636006
28600,2.386760,0.99917948
28700,1.427165,0.99908662
28800,3.333858,0.99665385
28900,2.425510,0.99908036
29000,3.783942,0.99693233
29100,2.646377,0.99928689
29200,1.597309,0.99888062
29300,3.250795,0.99688303
29400,2.418748,0.99898982
29500,3.629140,0.99776393
29600,2.027277,0.99951220
29700,1.815875,0.99909413
29800,4.492549,0.99649936
29900,3.074781,0.99919915
30000,1.694210,0.99901479
