window_start,window_end,masked_text,a1_len,a2_len,shift_norm,attribution,elapsed_s
-1,-1,(baseline),199,936,11.223554561499839,0.0,9.4
0,64,Current focus: Stabilize the Orange rotation while fully enablin,208,1159,9.4186,8.5311,1.92
32,96,nge rotation while fully enabling Hermes MCP toolset and 1‑hour ,136,683,11.6385,8.5995,1.55
64,128,"g Hermes MCP toolset and 1‑hour cache, finalize ghost‑service au",207,1322,10.8638,6.4766,1.99
96,160,"cache, finalize ghost‑service audit, and embed drift‑recognition",206,878,11.5406,4.2478,1.57
128,192,"dit, and embed drift‑recognition memory to keep directives balan",207,1332,9.9008,6.2957,2.21
160,224, memory to keep directives balanced.\n\nGoal: Maintain critical ro,244,1143,8.2508,8.7494,1.84
192,256,ced.\n\nGoal: Maintain critical rotation safety while confirming H,244,906,8.3045,8.9119,1.85
224,288,"tation safety while confirming Hermes toolset functionality, com",199,856,10.6443,2.8685,1.56
256,320,"ermes toolset functionality, completing the ghost‑service audit,",199,1564,10.6514,5.7833,2.42
288,352,"pleting the ghost‑service audit, preserving drift‑recognition sa",199,1101,11.3152,6.7624,1.94
320,384," preserving drift‑recognition safeguards, and keeping the 7‑minu",199,916,10.3223,4.9901,1.72
352,416,"feguards, and keeping the 7‑minute nudge cadence within the 1‑ho",199,934,10.5714,5.9151,1.8
384,448,te nudge cadence within the 1‑hour cache window.\n\nKey entities: ,192,1376,12.4379,10.2459,2.41
416,480,"ur cache window.\n\nKey entities: Nate (0.93), Hermes (0.88), mcp ",238,704,9.2199,9.7921,1.83
448,512,"Nate (0.93), Hermes (0.88), mcp (0.75), feedback_drift_recogniti",135,1585,11.9883,7.9629,2.59
480,544,"(0.75), feedback_drift_recognition.md (0.7), reference_cache_pos",145,784,13.3733,9.4508,1.58
512,576,"on.md (0.7), reference_cache_posture.md (0.68), ghost_service_au",235,548,6.8901,10.3639,1.35
544,608,"ture.md (0.68), ghost_service_audit (0.65), thread_318 (0.6)\n\nRe",273,605,5.8243,11.1249,1.48
576,640,"dit (0.65), thread_318 (0.6)\n\nRecent events: [13:40] directive(p",85,454,10.5624,10.8822,1.6
608,672,cent events: [13:40] directive(p5): Your rotation seems to be br,136,894,11.7931,8.1634,1.41
640,704,5): Your rotation seems to be bringing up yesterdays convos BTW;,206,1305,10.2896,6.6488,2.13
672,736,inging up yesterdays convos BTW; [13:40] directive(p5): Sure!; [,232,734,8.2396,7.6806,1.54
704,768, [13:40] directive(p5): Sure!; [13:40] directive(p5): Sweet!; [1,206,856,10.5258,3.6131,1.58
736,800,13:40] directive(p5): Sweet!; [13:30] directive(p5): Your rotati,206,771,10.0082,6.0119,1.64
768,832,3:30] directive(p5): Your rotation seems to be bringing up yeste,207,940,9.4446,7.3458,2.08
800,864,on seems to be bringing up yesterdays convos BTW; [13:30] direct,235,1254,8.6543,8.4315,1.91
832,896,rdays convos BTW; [13:30] directive(p5): Sure!; [13:30] directiv,232,750,8.0551,7.7691,1.56
864,928,ive(p5): Sure!; [13:30] directive(p5): Sweet!; [13:20] directive,232,872,8.6575,7.8697,1.63
896,960,e(p5): Sweet!; [13:20] directive(p5): Sure!; [13:20] directive(p,235,875,8.2441,7.5444,1.69
928,992,(p5): Sure!; [13:20] directive(p5): Sweet!; [13:20] directive(p5,275,752,7.0421,9.8171,1.6
960,1024,5): Sweet!; [13:20] directive(p5): What do you need to advance t,235,566,6.2107,10.8247,1.29
992,1056,"): What do you need to advance the thread? If your stuck, how do",235,549,6.4414,11.0672,1.19
1024,1088,"he thread? If your stuck, how do we work around it or adjacent t",235,564,6.1495,10.9811,1.54
1056,1120, we work around it or adjacent to it.  We should probably have m,206,898,10.0545,6.0076,1.66
1088,1152,o it.  We should probably have multiple probes of projects going,251,829,10.103,10.1496,1.85
1120,1184,ultiple probes of projects going.  Doesnt make a whol l; [13:10],251,1204,8.766,8.6012,2.04
1152,1216,.  Doesnt make a whol l; [13:10] directive(p5): Sure!\n\nConstrain,304,783,6.3336,9.9614,1.79
1184,1248, directive(p5): Sure!\n\nConstraints: Shell execution limited to w,136,813,11.2911,8.4386,1.54
1216,1280,ts: Shell execution limited to whitelisted commands for safety; ,232,879,8.8469,10.1078,1.8
1248,1312,hitelisted commands for safety; Support contemplative developmen,235,742,7.2975,9.6999,1.67
1280,1344,Support contemplative development over pure optimization; Mainta,136,1138,12.6472,8.4559,1.78
1312,1376,t over pure optimization; Maintain sovereign infrastructure – se,136,823,12.8468,8.1877,1.59
1344,1408,in sovereign infrastructure – self‑hosted services preferred; NE,235,721,7.2991,9.47,1.42
1376,1440,lf‑hosted services preferred; NEVER ignore creative_explore work,235,1003,8.0981,9.642,2.06
1408,1472,VER ignore creative_explore workspace – core directive; Do not r,207,830,9.4075,7.6085,1.54
